PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,0,3,,,22.0,1,0,,7.25,
2,1,1,,,38.0,1,0,,71.2833,
3,1,3,,,26.0,0,0,,7.925,
4,1,1,,,35.0,1,0,113803.0,53.1,
5,0,3,,,35.0,0,0,373450.0,8.05,
6,0,3,,,28.0,0,0,330877.0,8.4583,
7,0,1,,,54.0,0,0,17463.0,51.8625,
8,0,3,,,2.0,3,1,349909.0,21.075,
9,1,3,,,27.0,0,2,347742.0,11.1333,
10,1,2,,,14.0,1,0,237736.0,30.0708,
11,1,3,,,4.0,1,1,,16.7,
12,1,1,,,58.0,0,0,113783.0,26.55,
13,0,3,,,20.0,0,0,,8.05,
14,0,3,,,39.0,1,5,347082.0,31.275,
15,0,3,,,14.0,0,0,350406.0,7.8542,
16,1,2,,,55.0,0,0,248706.0,16.0,
17,0,3,,,2.0,4,1,382652.0,29.125,
18,1,2,,,28.0,0,0,244373.0,13.0,
19,0,3,,,31.0,1,0,345763.0,18.0,
20,1,3,,,28.0,0,0,2649.0,7.225,
21,0,2,,,35.0,0,0,239865.0,26.0,
22,1,2,,,34.0,0,0,248698.0,13.0,
23,1,3,,,15.0,0,0,330923.0,8.0292,
24,1,1,,,28.0,0,0,113788.0,35.5,
25,0,3,,,8.0,3,1,349909.0,21.075,
26,1,3,,,38.0,1,5,347077.0,31.3875,
27,0,3,,,28.0,0,0,2631.0,7.225,
28,0,1,,,19.0,3,2,19950.0,263.0,
29,1,3,,,28.0,0,0,330959.0,7.8792,
30,0,3,,,28.0,0,0,349216.0,7.8958,
31,0,1,,,40.0,0,0,,27.7208,
32,1,1,,,28.0,1,0,,146.5208,
33,1,3,,,28.0,0,0,335677.0,7.75,
34,0,2,,,66.0,0,0,,10.5,
35,0,1,,,28.0,1,0,,82.1708,
36,0,1,,,42.0,1,0,113789.0,52.0,
37,1,3,,,28.0,0,0,2677.0,7.2292,
38,0,3,,,21.0,0,0,,8.05,
39,0,3,,,18.0,2,0,345764.0,18.0,
40,1,3,,,14.0,1,0,2651.0,11.2417,
41,0,3,,,40.0,1,0,7546.0,9.475,
42,0,2,,,27.0,1,0,11668.0,21.0,
43,0,3,,,28.0,0,0,349253.0,7.8958,
44,1,2,,,3.0,1,2,,41.5792,
45,1,3,,,19.0,0,0,330958.0,7.8792,
46,0,3,,,28.0,0,0,,8.05,
47,0,3,,,28.0,1,0,370371.0,15.5,
48,1,3,,,28.0,0,0,14311.0,7.75,
49,0,3,,,28.0,2,0,2662.0,21.6792,
50,0,3,,,18.0,1,0,349237.0,17.8,
51,0,3,,,7.0,4,1,3101295.0,39.6875,
52,0,3,,,21.0,0,0,,7.8,
53,1,1,,,49.0,1,0,,76.7292,
54,1,2,,,29.0,1,0,2926.0,26.0,
55,0,1,,,65.0,0,1,113509.0,61.9792,
56,1,1,,,28.0,0,0,19947.0,35.5,
57,1,2,,,21.0,0,0,,10.5,
58,0,3,,,28.5,0,0,2697.0,7.2292,
59,1,2,,,5.0,1,2,,27.75,
60,0,3,,,11.0,5,2,,46.9,
61,0,3,,,22.0,0,0,2669.0,7.2292,
62,1,1,,,38.0,0,0,113572.0,80.0,
63,0,1,,,45.0,1,0,36973.0,83.475,
64,0,3,,,4.0,3,2,347088.0,27.9,
65,0,1,,,28.0,0,0,,27.7208,
66,1,3,,,28.0,1,1,2661.0,15.2458,
67,1,2,,,29.0,0,0,,10.5,
68,0,3,,,19.0,0,0,,8.1583,
69,1,3,,,17.0,4,2,3101281.0,7.925,
70,0,3,,,26.0,2,0,315151.0,8.6625,
71,0,2,,,32.0,0,0,,10.5,
72,0,3,,,16.0,5,2,,46.9,
73,0,2,,,21.0,0,0,,73.5,
74,0,3,,,26.0,1,0,2680.0,14.4542,
75,1,3,,,32.0,0,0,1601.0,56.4958,
76,0,3,,,25.0,0,0,348123.0,7.65,
77,0,3,,,28.0,0,0,349208.0,7.8958,
78,0,3,,,28.0,0,0,374746.0,8.05,
79,1,2,,,0.83,0,2,248738.0,29.0,
80,1,3,,,30.0,0,0,364516.0,12.475,
81,0,3,,,22.0,0,0,345767.0,9.0,
82,1,3,,,29.0,0,0,345779.0,9.5,
83,1,3,,,28.0,0,0,330932.0,7.7875,
84,0,1,,,28.0,0,0,113059.0,47.1,
85,1,2,,,17.0,0,0,,10.5,
86,1,3,,,33.0,3,0,3101278.0,15.85,
87,0,3,,,16.0,1,3,,34.375,
88,0,3,,,28.0,0,0,,8.05,
89,1,1,,,23.0,3,2,19950.0,263.0,
90,0,3,,,24.0,0,0,343275.0,8.05,
91,0,3,,,29.0,0,0,343276.0,8.05,
92,0,3,,,20.0,0,0,347466.0,7.8542,
93,0,1,,,46.0,1,0,,61.175,
94,0,3,,,26.0,1,2,,20.575,
95,0,3,,,59.0,0,0,364500.0,7.25,
96,0,3,,,28.0,0,0,374910.0,8.05,
97,0,1,,,71.0,0,0,,34.6542,
98,1,1,,,23.0,0,1,,63.3583,
99,1,2,,,34.0,0,1,231919.0,23.0,
100,0,2,,,34.0,1,0,244367.0,26.0,
101,0,3,,,28.0,0,0,349245.0,7.8958,
102,0,3,,,28.0,0,0,349215.0,7.8958,
103,0,1,,,21.0,0,1,35281.0,77.2875,
104,0,3,,,33.0,0,0,7540.0,8.6542,
105,0,3,,,37.0,2,0,3101276.0,7.925,
106,0,3,,,28.0,0,0,349207.0,7.8958,
107,1,3,,,21.0,0,0,343120.0,7.65,
108,1,3,,,28.0,0,0,312991.0,7.775,
109,0,3,,,38.0,0,0,349249.0,7.8958,
110,1,3,,,28.0,1,0,371110.0,24.15,
111,0,1,,,47.0,0,0,110465.0,52.0,
112,0,3,,,14.5,1,0,2665.0,14.4542,
113,0,3,,,22.0,0,0,324669.0,8.05,
114,0,3,,,20.0,1,0,4136.0,9.825,
115,0,3,,,17.0,0,0,2627.0,14.4583,
116,0,3,,,21.0,0,0,,7.925,
117,0,3,,,70.5,0,0,370369.0,7.75,
118,0,2,,,29.0,1,0,11668.0,21.0,
119,0,1,,,24.0,0,1,,247.5208,
120,0,3,,,2.0,4,2,347082.0,31.275,
121,0,2,,,21.0,2,0,,73.5,
122,0,3,,,28.0,0,0,,8.05,
123,0,2,,,32.5,1,0,237736.0,30.0708,
124,1,2,,,32.5,0,0,27267.0,13.0,
125,0,1,,,54.0,0,1,35281.0,77.2875,
126,1,3,,,12.0,1,0,2651.0,11.2417,
127,0,3,,,28.0,0,0,370372.0,7.75,
128,1,3,,,24.0,0,0,,7.1417,
129,1,3,,,28.0,1,1,2668.0,22.3583,
130,0,3,,,45.0,0,0,347061.0,6.975,
131,0,3,,,33.0,0,0,349241.0,7.8958,
132,0,3,,,20.0,0,0,,7.05,
133,0,3,,,47.0,1,0,,14.5,
134,1,2,,,29.0,1,0,228414.0,26.0,
135,0,2,,,25.0,0,0,,13.0,
136,0,2,,,23.0,0,0,,15.0458,
137,1,1,,,19.0,0,2,11752.0,26.2833,
138,0,1,,,37.0,1,0,113803.0,53.1,
139,0,3,,,16.0,0,0,7534.0,9.2167,
140,0,1,,,24.0,0,0,,79.2,
141,0,3,,,28.0,0,2,2678.0,15.2458,
142,1,3,,,22.0,0,0,347081.0,7.75,
143,1,3,,,24.0,1,0,,15.85,
144,0,3,,,19.0,0,0,365222.0,6.75,
145,0,2,,,18.0,0,0,231945.0,11.5,
146,0,2,,,19.0,1,1,,36.75,
147,1,3,,,27.0,0,0,350043.0,7.7958,
148,0,3,,,9.0,2,2,,34.375,
149,0,2,,,36.5,0,2,230080.0,26.0,
150,0,2,,,42.0,0,0,244310.0,13.0,
151,0,2,,,51.0,0,0,,12.525,
152,1,1,,,22.0,1,0,113776.0,66.6,
153,0,3,,,55.5,0,0,,8.05,
154,0,3,,,40.5,0,2,,14.5,
155,0,3,,,28.0,0,0,,7.3125,
156,0,1,,,51.0,0,1,,61.3792,
157,1,3,,,16.0,0,0,35851.0,7.7333,
158,0,3,,,30.0,0,0,,8.05,
159,0,3,,,28.0,0,0,315037.0,8.6625,
160,0,3,,,28.0,8,2,,69.55,
161,0,3,,,44.0,0,1,371362.0,16.1,
162,1,2,,,40.0,0,0,,15.75,
163,0,3,,,26.0,0,0,347068.0,7.775,
164,0,3,,,17.0,0,0,315093.0,8.6625,
165,0,3,,,1.0,4,1,3101295.0,39.6875,
166,1,3,,,9.0,0,2,363291.0,20.525,
167,1,1,,,28.0,0,1,113505.0,55.0,
168,0,3,,,45.0,1,4,347088.0,27.9,
169,0,1,,,28.0,0,0,,25.925,
170,0,3,,,28.0,0,0,1601.0,56.4958,
171,0,1,,,61.0,0,0,111240.0,33.5,
172,0,3,,,4.0,4,1,382652.0,29.125,
173,1,3,,,1.0,1,1,347742.0,11.1333,
174,0,3,,,21.0,0,0,,7.925,
175,0,1,,,56.0,0,0,17764.0,30.6958,
176,0,3,,,18.0,1,1,350404.0,7.8542,
177,0,3,,,28.0,3,1,4133.0,25.4667,
178,0,1,,,50.0,0,0,,28.7125,
179,0,2,,,30.0,0,0,250653.0,13.0,
180,0,3,,,36.0,0,0,,0.0,
181,0,3,,,28.0,8,2,,69.55,
182,0,2,,,28.0,0,0,,15.05,
183,0,3,,,9.0,4,2,347077.0,31.3875,
184,1,2,,,1.0,2,1,230136.0,39.0,
185,1,3,,,4.0,0,2,315153.0,22.025,
186,0,1,,,28.0,0,0,113767.0,50.0,
187,1,3,,,28.0,1,0,370365.0,15.5,
188,1,1,,,45.0,0,0,111428.0,26.55,
189,0,3,,,40.0,1,1,364849.0,15.5,
190,0,3,,,36.0,0,0,349247.0,7.8958,
191,1,2,,,32.0,0,0,234604.0,13.0,
192,0,2,,,19.0,0,0,28424.0,13.0,
193,1,3,,,19.0,1,0,350046.0,7.8542,
194,1,2,,,3.0,1,1,230080.0,26.0,
195,1,1,,,44.0,0,0,,27.7208,
196,1,1,,,58.0,0,0,,146.5208,
197,0,3,,,28.0,0,0,368703.0,7.75,
198,0,3,,,42.0,0,1,4579.0,8.4042,
199,1,3,,,28.0,0,0,370370.0,7.75,
200,0,2,,,24.0,0,0,248747.0,13.0,
201,0,3,,,28.0,0,0,345770.0,9.5,
202,0,3,,,28.0,8,2,,69.55,
203,0,3,,,34.0,0,0,3101264.0,6.4958,
204,0,3,,,45.5,0,0,2628.0,7.225,
205,1,3,,,18.0,0,0,,8.05,
206,0,3,,,2.0,0,1,347054.0,10.4625,
207,0,3,,,32.0,1,0,3101278.0,15.85,
208,1,3,,,26.0,0,0,2699.0,18.7875,
209,1,3,,,16.0,0,0,367231.0,7.75,
210,1,1,,,40.0,0,0,112277.0,31.0,
211,0,3,,,24.0,0,0,,7.05,
212,1,2,,,35.0,0,0,,21.0,
213,0,3,,,22.0,0,0,,7.25,
214,0,2,,,30.0,0,0,250646.0,13.0,
215,0,3,,,28.0,1,0,367229.0,7.75,
216,1,1,,,31.0,1,0,35273.0,113.275,
217,1,3,,,27.0,0,0,,7.925,
218,0,2,,,42.0,1,0,243847.0,27.0,
219,1,1,,,32.0,0,0,11813.0,76.2917,
220,0,2,,,30.0,0,0,,10.5,
221,1,3,,,16.0,0,0,,8.05,
222,0,2,,,27.0,0,0,220367.0,13.0,
223,0,3,,,51.0,0,0,21440.0,8.05,
224,0,3,,,28.0,0,0,349234.0,7.8958,
225,1,1,,,38.0,1,0,19943.0,90.0,
226,0,3,,,22.0,0,0,,9.35,
227,1,2,,,19.0,0,0,,10.5,
228,0,3,,,20.5,0,0,,7.25,
229,0,2,,,18.0,0,0,236171.0,13.0,
230,0,3,,,28.0,3,1,4133.0,25.4667,
231,1,1,,,35.0,1,0,36973.0,83.475,
232,0,3,,,29.0,0,0,347067.0,7.775,
233,0,2,,,59.0,0,0,237442.0,13.5,
234,1,3,,,5.0,4,2,347077.0,31.3875,
235,0,2,,,24.0,0,0,,10.5,
236,0,3,,,28.0,0,0,,7.55,
237,0,2,,,44.0,1,0,26707.0,26.0,
238,1,2,,,8.0,0,2,,26.25,
239,0,2,,,19.0,0,0,28665.0,10.5,
240,0,2,,,33.0,0,0,,12.275,
241,0,3,,,28.0,1,0,2665.0,14.4542,
242,1,3,,,28.0,1,0,367230.0,15.5,
243,0,2,,,29.0,0,0,,10.5,
244,0,3,,,22.0,0,0,,7.125,
245,0,3,,,30.0,0,0,2694.0,7.225,
246,0,1,,,44.0,2,0,19928.0,90.0,
247,0,3,,,25.0,0,0,347071.0,7.775,
248,1,2,,,24.0,0,2,250649.0,14.5,
249,1,1,,,37.0,1,1,11751.0,52.5542,
250,0,2,,,54.0,1,0,244252.0,26.0,
251,0,3,,,28.0,0,0,362316.0,7.25,
252,0,3,,,29.0,1,1,347054.0,10.4625,
253,0,1,,,62.0,0,0,113514.0,26.55,
254,0,3,,,30.0,1,0,,16.1,
255,0,3,,,41.0,0,2,370129.0,20.2125,
256,1,3,,,29.0,0,2,2650.0,15.2458,
257,1,1,,,28.0,0,0,,79.2,
258,1,1,,,30.0,0,0,110152.0,86.5,
259,1,1,,,35.0,0,0,,512.3292,
260,1,2,,,50.0,0,1,230433.0,26.0,
261,0,3,,,28.0,0,0,384461.0,7.75,
262,1,3,,,3.0,4,2,347077.0,31.3875,
263,0,1,,,52.0,1,1,110413.0,79.65,
264,0,1,,,40.0,0,0,112059.0,0.0,
265,0,3,,,28.0,0,0,382649.0,7.75,
266,0,2,,,36.0,0,0,,10.5,
267,0,3,,,16.0,4,1,3101295.0,39.6875,
268,1,3,,,25.0,1,0,347083.0,7.775,
269,1,1,,,58.0,0,1,,153.4625,
270,1,1,,,35.0,0,0,,135.6333,
271,0,1,,,28.0,0,0,113798.0,31.0,
272,1,3,,,25.0,0,0,,0.0,
273,1,2,,,41.0,0,1,250644.0,19.5,
274,0,1,,,37.0,0,1,,29.7,
275,1,3,,,28.0,0,0,370375.0,7.75,
276,1,1,,,63.0,1,0,13502.0,77.9583,
277,0,3,,,45.0,0,0,347073.0,7.75,
278,0,2,,,28.0,0,0,239853.0,0.0,
279,0,3,,,7.0,4,1,382652.0,29.125,
280,1,3,,,35.0,1,1,,20.25,
281,0,3,,,65.0,0,0,336439.0,7.75,
282,0,3,,,28.0,0,0,347464.0,7.8542,
283,0,3,,,16.0,0,0,345778.0,9.5,
284,1,3,,,19.0,0,0,,8.05,
285,0,1,,,28.0,0,0,113056.0,26.0,
286,0,3,,,33.0,0,0,349239.0,8.6625,
287,1,3,,,30.0,0,0,345774.0,9.5,
288,0,3,,,22.0,0,0,349206.0,7.8958,
289,1,2,,,42.0,0,0,237798.0,13.0,
290,1,3,,,22.0,0,0,370373.0,7.75,
291,1,1,,,26.0,0,0,19877.0,78.85,
292,1,1,,,19.0,1,0,11967.0,91.0792,
293,0,2,,,36.0,0,0,,12.875,
294,0,3,,,24.0,0,0,349236.0,8.85,
295,0,3,,,24.0,0,0,349233.0,7.8958,
296,0,1,,,28.0,0,0,,27.7208,
297,0,3,,,23.5,0,0,2693.0,7.2292,
298,0,1,,,2.0,1,2,113781.0,151.55,
299,1,1,,,28.0,0,0,19988.0,30.5,
300,1,1,,,50.0,0,1,,247.5208,
301,1,3,,,28.0,0,0,9234.0,7.75,
302,1,3,,,28.0,2,0,367226.0,23.25,
303,0,3,,,19.0,0,0,,0.0,
304,1,2,,,28.0,0,0,226593.0,12.35,
305,0,3,,,28.0,0,0,,8.05,
306,1,1,,,0.92,1,2,113781.0,151.55,
307,1,1,,,28.0,0,0,17421.0,110.8833,
308,1,1,,,17.0,1,0,,108.9,
309,0,2,,,30.0,1,0,,24.0,
310,1,1,,,30.0,0,0,,56.9292,
311,1,1,,,24.0,0,0,11767.0,83.1583,
312,1,1,,,18.0,2,2,,262.375,
313,0,2,,,26.0,1,1,250651.0,26.0,
314,0,3,,,28.0,0,0,349243.0,7.8958,
315,0,2,,,43.0,1,1,,26.25,
316,1,3,,,26.0,0,0,347470.0,7.8542,
317,1,2,,,24.0,1,0,244367.0,26.0,
318,0,2,,,54.0,0,0,29011.0,14.0,
319,1,1,,,31.0,0,2,36928.0,164.8667,
320,1,1,,,40.0,1,1,16966.0,134.5,
321,0,3,,,22.0,0,0,,7.25,
322,0,3,,,27.0,0,0,349219.0,7.8958,
323,1,2,,,30.0,0,0,234818.0,12.35,
324,1,2,,,22.0,1,1,248738.0,29.0,
325,0,3,,,28.0,8,2,,69.55,
326,1,1,,,36.0,0,0,,135.6333,
327,0,3,,,61.0,0,0,345364.0,6.2375,
328,1,2,,,36.0,0,0,28551.0,13.0,
329,1,3,,,31.0,1,1,363291.0,20.525,
330,1,1,,,16.0,0,1,111361.0,57.9792,
331,1,3,,,28.0,2,0,367226.0,23.25,
332,0,1,,,45.5,0,0,113043.0,28.5,
333,0,1,,,38.0,0,1,,153.4625,
334,0,3,,,16.0,2,0,345764.0,18.0,
335,1,1,,,28.0,1,0,,133.65,
336,0,3,,,28.0,0,0,349225.0,7.8958,
337,0,1,,,29.0,1,0,113776.0,66.6,
338,1,1,,,41.0,0,0,16966.0,134.5,
339,1,3,,,45.0,0,0,7598.0,8.05,
340,0,1,,,45.0,0,0,113784.0,35.5,
341,1,2,,,2.0,1,1,230080.0,26.0,
342,1,1,,,24.0,3,2,19950.0,263.0,
343,0,2,,,28.0,0,0,248740.0,13.0,
344,0,2,,,25.0,0,0,244361.0,13.0,
345,0,2,,,36.0,0,0,229236.0,13.0,
346,1,2,,,24.0,0,0,248733.0,13.0,
347,1,2,,,40.0,0,0,31418.0,13.0,
348,1,3,,,28.0,1,0,386525.0,16.1,
349,1,3,,,3.0,1,1,,15.9,
350,0,3,,,42.0,0,0,315088.0,8.6625,
351,0,3,,,23.0,0,0,7267.0,9.225,
352,0,1,,,28.0,0,0,113510.0,35.0,
353,0,3,,,15.0,1,1,2695.0,7.2292,
354,0,3,,,25.0,1,0,349237.0,17.8,
355,0,3,,,28.0,0,0,2647.0,7.225,
356,0,3,,,28.0,0,0,345783.0,9.5,
357,1,1,,,22.0,0,1,113505.0,55.0,
358,0,2,,,38.0,0,0,237671.0,13.0,
359,1,3,,,28.0,0,0,330931.0,7.8792,
360,1,3,,,28.0,0,0,330980.0,7.8792,
361,0,3,,,40.0,1,4,347088.0,27.9,
362,0,2,,,29.0,1,0,,27.7208,
363,0,3,,,45.0,0,1,2691.0,14.4542,
364,0,3,,,35.0,0,0,,7.05,
365,0,3,,,28.0,1,0,370365.0,15.5,
366,0,3,,,30.0,0,0,,7.25,
367,1,1,,,60.0,1,0,110813.0,75.25,
368,1,3,,,28.0,0,0,2626.0,7.2292,
369,1,3,,,28.0,0,0,14313.0,7.75,
370,1,1,,,24.0,0,0,,69.3,
371,1,1,,,25.0,1,0,11765.0,55.4417,
372,0,3,,,18.0,1,0,3101267.0,6.4958,
373,0,3,,,19.0,0,0,323951.0,8.05,
374,0,1,,,22.0,0,0,,135.6333,
375,0,3,,,3.0,3,1,349909.0,21.075,
376,1,1,,,28.0,1,0,,82.1708,
377,1,3,,,22.0,0,0,,7.25,
378,0,1,,,27.0,0,2,113503.0,211.5,
379,0,3,,,20.0,0,0,2648.0,4.0125,
380,0,3,,,19.0,0,0,347069.0,7.775,
381,1,1,,,42.0,0,0,,227.525,
382,1,3,,,1.0,0,2,2653.0,15.7417,
383,0,3,,,32.0,0,0,,7.925,
384,1,1,,,35.0,1,0,113789.0,52.0,
385,0,3,,,28.0,0,0,349227.0,7.8958,
386,0,2,,,18.0,0,0,,73.5,
387,0,3,,,1.0,5,2,,46.9,
388,1,2,,,36.0,0,0,27849.0,13.0,
389,0,3,,,28.0,0,0,367655.0,7.7292,
390,1,2,,,17.0,0,0,,12.0,
391,1,1,,,36.0,1,2,113760.0,120.0,
392,1,3,,,21.0,0,0,350034.0,7.7958,
393,0,3,,,28.0,2,0,3101277.0,7.925,
394,1,1,,,23.0,1,0,35273.0,113.275,
395,1,3,,,24.0,0,2,,16.7,
396,0,3,,,22.0,0,0,350052.0,7.7958,
397,0,3,,,31.0,0,0,350407.0,7.8542,
398,0,2,,,46.0,0,0,28403.0,26.0,
399,0,2,,,23.0,0,0,244278.0,10.5,
400,1,2,,,28.0,0,0,240929.0,12.65,
401,1,3,,,39.0,0,0,,7.925,
402,0,3,,,26.0,0,0,341826.0,8.05,
403,0,3,,,21.0,1,0,4137.0,9.825,
404,0,3,,,28.0,1,0,,15.85,
405,0,3,,,20.0,0,0,315096.0,8.6625,
406,0,2,,,34.0,1,0,28664.0,21.0,
407,0,3,,,51.0,0,0,347064.0,7.75,
408,1,2,,,3.0,1,1,29106.0,18.75,
409,0,3,,,21.0,0,0,312992.0,7.775,
410,0,3,,,28.0,3,1,4133.0,25.4667,
411,0,3,,,28.0,0,0,349222.0,7.8958,
412,0,3,,,28.0,0,0,394140.0,6.8583,
413,1,1,,,33.0,1,0,19928.0,90.0,
414,0,2,,,28.0,0,0,239853.0,0.0,
415,1,3,,,44.0,0,0,,7.925,
416,0,3,,,28.0,0,0,343095.0,8.05,
417,1,2,,,34.0,1,1,28220.0,32.5,
418,1,2,,,18.0,0,2,250652.0,13.0,
419,0,2,,,30.0,0,0,28228.0,13.0,
420,0,3,,,10.0,0,2,345773.0,24.15,
421,0,3,,,28.0,0,0,349254.0,7.8958,
422,0,3,,,21.0,0,0,,7.7333,
423,0,3,,,29.0,0,0,315082.0,7.875,
424,0,3,,,28.0,1,1,347080.0,14.4,
425,0,3,,,18.0,1,1,370129.0,20.2125,
426,0,3,,,28.0,0,0,,7.25,
427,1,2,,,28.0,1,0,2003.0,26.0,
428,1,2,,,19.0,0,0,250655.0,26.0,
429,0,3,,,28.0,0,0,364851.0,7.75,
430,1,3,,,32.0,0,0,,8.05,
431,1,1,,,28.0,0,0,110564.0,26.55,
432,1,3,,,28.0,1,0,376564.0,16.1,
433,1,2,,,42.0,1,0,,26.0,
434,0,3,,,17.0,0,0,,7.125,
435,0,1,,,50.0,1,0,13507.0,55.9,
436,1,1,,,14.0,1,2,113760.0,120.0,
437,0,3,,,21.0,2,2,,34.375,
438,1,2,,,24.0,2,3,29106.0,18.75,
439,0,1,,,64.0,1,4,19950.0,263.0,
440,0,2,,,31.0,0,0,,10.5,
441,1,2,,,45.0,1,1,,26.25,
442,0,3,,,20.0,0,0,345769.0,9.5,
443,0,3,,,25.0,1,0,347076.0,7.775,
444,1,2,,,28.0,0,0,230434.0,13.0,
445,1,3,,,28.0,0,0,65306.0,8.1125,
446,1,1,,,4.0,0,2,33638.0,81.8583,
447,1,2,,,13.0,0,1,250644.0,19.5,
